100784444-01	作者序言 

100784444-02	"暗网"这本书,在不同层面剖析了极度敏感和极富争议的主题.

100784444-03	我的首要目的是想揭露这个经常被人们挂在嘴边但极少有人探索的领域.

100784444-04	在全书中,我努力抛开个人观点,

100784444-05	尽可能以客观,清晰的口吻叙述经历.

100784444-06	读者可能会质疑撰写这类书籍是否明智,

100784444-07	但也对"暗网"所揭露出的信息十分关心.

100784444-08	尽管我本意并非想指导违法以及有悖道德的网络行为,

100784444-09	但本书的确包含让读者感到不适甚至十分震惊的内容.

100784444-10	身为一名研究者,我自认有义务保护网络当事人的隐私.

100784444-11	因此在文中必要的地方,我修改了一些人名,昵称和身份信息.

100784444-12	此外,在其中一章,我依据多个人的经历虚构了一位综合性的人物.

100784444-13	为方便读者阅读,我还修正了许多引用材料中的拼写错误.

100784444-14	我尽力想在当事人权益,经由描述他们所带来的社会效益以及他们所生存的世界之间寻求平衡.

100784444-15	这不是一个万全的研究方法,

100784444-16	更像是一些个人评判.书中任何的错误疏漏,

100784444-17	都由我本人负责,因本书内容方面对当事人造成的困扰和不适,

100784444-18	我也表示歉意.

100784444-19	网络生活的变化速度如此之快,

100784444-20	毫无疑问,当你读到"暗网"这本书的时候,

100784444-21	里面提到的某些网络行为可能早已不存在,

100784444-22	一些网站会被关闭,亚文化会不断发展出新的形态,

100784444-23	新的相关法律条文会出台.

100784444-24	但是本书的核心思想——人们会在匿名或自以为匿名的世界里做些什么——永远不会改变.

100784444-25	杰米·巴特利特

100791445-02	献给在撰写本书时降生的休伊,马克斯和桑尼.

100791445-03	当他们长大的时候,我希望他们能读读这本书,想想这一切究竟是怎么回事,

100791445-04	然后对叔叔这些不可救药的预言一笑了之.

100791445-05	引言　

100791445-06	自由或死亡

100791445-08	我听说过关于这个网站的一些谣言,但仍然无法相信它确实存在.

100791445-09	此刻我看到的是一份暗杀黑名单.

100791445-10	我能认出其中一些人的照片,

100791445-11	大部分是有名的政客,

100791445-12	每个人的照片旁边都标注着价码.

100791445-14	这个网站创始人认为

100791445-15	如果可以雇凶杀人而不被捕

100791445-16	绝对会有人去做.

100791445-17	这也正是他创办"暗杀市场"网站的原因之一.

100791445-18	在网站首页,列出了四个简单的操作指示:

100791445-19	在名单上新增姓名

100791445-20	在姓名旁边标注下注金额.

100791445-21	预测此人死亡时间

100791445-22	准确预测可赢得全部赌金

100791445-24	谷歌浏览器是搜索不到"暗杀市场"的,

100791445-25	它隐身在加密的互联网空间中,

100791445-26	直到最近,才能通过一个叫"洋葱路由器"

100791445-27	或"ƪƿǅ"的浏览器进入网站.

100791445-28	ƪƿǅ以美国海军研究实验室项目起家,

